UNIQUE_DOMAINS,https,Error,Notes,Script Result,
https://0.tqn.com,,Access Denied,,,
https://1.bp.blogspot.com,,Error 404,,,
https://10.192.200.243,No,,it is EdisonLearning,,
https://103orchard.tenement.org,Yes,,,,
https://2.bp.blogspot.com,,Error 404,,,
https://2000clicks.com,No,,,,
https://2008sec2lit.blogspot.com,Yes,,,,
https://2012books.lardbucket.org,Yes,,,,
https://208.69.168.83,,Unavailable,,,
https://221bakerstreet.org,,Unavailable,,,
https://230nsc1.phy-astr.gsu.edu,No,,,,
https://2wheeledlife.com,,Unavailable,,,
https://3.bp.blogspot.com,,Unavailable,,,
https://3dparks.wr.usgs.gov,Yes,,,,
https://454.com,,Unavailable,,,
https://64.233.167.104,,Routes to google.com on changing to http,,,
https://6abc.com,Yes,,,,
https://712educators.about.com,Yes,,,,
https://74.125.47.132,,Unavailable,,,
https://7gables.org,Yes,,,,
https://8fit.com,Yes,,,,
https://Media.edisonlearning.com,Yes,chnage to https://media-dev.edisonlearning.com,,,
https://Myplate.gov,Yes,,,,
https://a4esl.org,No,,,,
https://aa.usno.navy.mil,,Unavailable,,,
https://aabme.asme.org,Yes,,,,
https://aakp.org,Yes,,,,
https://aarongce.wordpress.com,Yes,,,,
https://aasa.org,Yes,,,,
https://abacus.bates.edu,Yes,,,,
https://abcnews.go.com,Yes,,,,
https://abetterchemtext.com,Yes,,,,
https://aboutforensics.co.uk,Yes,,,,
https://abovetheinfluence.com,Yes,,,,
https://absoluteshakespeare.com,Yes,,,,
https://abyss.uoregon.edu,No,"Seeing error on https, on http, getting no access error",,,
https://academic.brooklyn.cuny.edu,No,,,,
https://academic.oup.com,Yes,,,,
https://academic.reed.edu,Yes,,,,
https://academichelp.net,Yes,,,,
https://academics.aces.illinois.,,Unavailable,,,
https://academics.triton.edu,Yes,,,,
https://academics.utep.edu,Yes,,,,
https://academo.org,Yes,,,,
https://academy.allaboutbirds.org,Yes,,,,
https://acc6.its.brooklyn.cuny.edu,No,,,,
https://accedian.com,Yes,,,,
https://accel.wisconsinpublicservice.com,Yes,,,,
https://accessmedicine.mhmedical.com,Yes,,,,
https://acdis.illinois.edu,Yes,,,,
https://ace.fsu.edu,Yes,,,,
https://aclu-de.org,Yes,,,,
https://acmcu.georgetown.edu,Yes,,,,
https://act-r.psy.cmu.edu,No,,,,
https://activefiremaps.fs.fed.us/,,Unavailable,,,
https://actrav.itcilo.org,,Unavailable,,,
https://adage.com,Yes,,,,
https://adam.about.com,Yes,,,,
https://adaptivemap.ma.psu.edu,No,,,,
https://adminsecret.monster.com,,Unavailable,,,
https://adprima.com,Yes,,,,
https://adventure.howstuffworks.com,Yes,,,,
https://advice.writing.utoronto.ca,Yes,,,,
https://aether.lbl.gov,Yes,,,,
https://afdc.energy.gov,Yes,,,,
https://afe.easia.columbia.,,Unavailable,,,
https://aflcio.org,Yes,,,,
https://africanhistory.about.com,Yes,,,,
https://aggie-horticulture.tamu.edu,Yes,,,,
https://agni.phys.iit.edu,,Doesn't route to a page correctly.,,,
https://agsci.oregonstate.edu,Yes,,,,
https://aidsinfo.nih.gov,Yes,,,,
https://airandspace.si.edu,Yes,,,,
https://airnow.gov,Yes,,,,
https://ak.water.usgs.gov,Yes,,,,
https://ako.net.nz,,Unavailable,,,
https://alandix.com,Yes,,,,
https://albalearning.com,Yes,,,,
https://aleph0.clarku.edu,No,,,,
https://alevelbiology.co.uk,Yes,,,,
https://alex.state.al.,,Unavailable,,,
https://alexandriava.gov,Yes,,,,
https://algebralab.org,No,,,,
https://aliscot.com,,Unavailable,,,
https://allairevillage.org,Yes,,,,
https://allpoetry.com,Yes,,,,
https://allpsych.com,Yes,,,,
https://allthingsliberty.com,Yes,,,,
https://alpha.math.uga.edu,No,,,,
https://alt.hobart.k12.in.us,Yes,,,,
https://alumni.media.mit.edu,Yes,,,,
https://amazing-space.stsci.edu,Yes,,,,
https://amb.cult.bg,,Unavailable,,,
https://ambergriscaye.com,Yes,,,,
https://amby.com,No,,,,
https://amediavoz.com,No,,,,
https://americanbookreview.org,No,,,,
https://americancivilwar.com,Yes,,,,
https://americanenglish.state.gov,Yes,,,,
https://americanfolklore.net,Yes,,,,
https://americanhistory.si.edu,Yes,,,,
https://americanliterature.com,Yes,,,,
https://americanpregnancy.org,Yes,,,,
https://americanradioworks.publicradio.org,Yes,,,,
https://americanrevwar.homestead.com,,Unavailable,,,
https://americansforcures.org,Yes,,,,
https://amhistory.si.edu,Yes,,,,
https://amigosinternational.org,Yes,,,,
https://amphetamines.com,Yes,,,,
https://amphibiaweb.org,Yes,,,,
https://amrita.vlab.co.,,Unavailable,,,
