UNIQUE_DOMAINS,Result,Details,UpdatedURL
https://0.tqn.com,Redirected,URL should be updated to match Redirected URL,https://0.tqn.com/
https://1.bp.blogspot.com,Redirected,URL should be updated to match Redirected URL,https://1.bp.blogspot.com/
https://103orchard.tenement.org,Redirected,URL should be updated to match Redirected URL,https://103orchard.tenement.org/stories/103-orchard/
https://2.bp.blogspot.com,Redirected,URL should be updated to match Redirected URL,https://2.bp.blogspot.com/
https://2008sec2lit.blogspot.com,Redirected,URL should be updated to match Redirected URL,https://2008sec2lit.blogspot.com/
https://2012books.lardbucket.org,Redirected,URL should be updated to match Redirected URL,https://2012books.lardbucket.org/
https://3.bp.blogspot.com,Redirected,URL should be updated to match Redirected URL,https://3.bp.blogspot.com/
https://3dparks.wr.usgs.gov,Redirected,URL should be updated to match Redirected URL,https://www.usgs.gov/science-support/osqi/yes/national-parks/
https://6abc.com,Redirected,URL should be updated to match Redirected URL,https://6abc.com/
https://712educators.about.com,Redirected,URL should be updated to match Redirected URL,https://www.thoughtco.com/secondary-education-4132504
https://7gables.org,Redirected,URL should be updated to match Redirected URL,https://7gables.org/
https://8fit.com,Redirected,URL should be updated to match Redirected URL,https://8fit.com/
https://Myplate.gov,Redirected,URL should be updated to match Redirected URL,https://www.choosemyplate.gov/
https://aabme.asme.org,Redirected,URL should be updated to match Redirected URL,https://aabme.asme.org/
https://aakp.org,Redirected,URL should be updated to match Redirected URL,https://aakp.org/
https://aarongce.wordpress.com,Redirected,URL should be updated to match Redirected URL,https://aarongce.wordpress.com/
https://aasa.org,Redirected,URL should be updated to match Redirected URL,https://aasa.org/home/
https://abacus.bates.edu,Redirected,URL should be updated to match Redirected URL,https://abacus.bates.edu/
https://abcnews.go.com,Redirected,URL should be updated to match Redirected URL,https://abcnews.go.com/
https://abetterchemtext.com,Redirected,URL should be updated to match Redirected URL,https://abetterchemtext.com/
https://aboutforensics.co.uk,Redirected,URL should be updated to match Redirected URL,https://aboutforensics.co.uk/
https://abovetheinfluence.com,Redirected,URL should be updated to match Redirected URL,https://abovetheinfluence.com/
https://absoluteshakespeare.com,Redirected,URL should be updated to match Redirected URL,https://absoluteshakespeare.com/
https://academic.brooklyn.cuny.edu,Redirected,URL should be updated to match Redirected URL,https://academic.brooklyn.cuny.edu/
https://academic.oup.com,Redirected,URL should be updated to match Redirected URL,https://academic.oup.com/journals
https://academic.reed.edu,Redirected,URL should be updated to match Redirected URL,https://www.reed.edu/
https://academichelp.net,Redirected,URL should be updated to match Redirected URL,https://academichelp.net/
https://academics.utep.edu,Redirected,URL should be updated to match Redirected URL,https://www.utep.edu
https://academo.org,Redirected,URL should be updated to match Redirected URL,https://academo.org/
https://academy.allaboutbirds.org,Redirected,URL should be updated to match Redirected URL,https://academy.allaboutbirds.org/
https://accedian.com,Redirected,URL should be updated to match Redirected URL,https://accedian.com/
https://accel.wisconsinpublicservice.com,Redirected,URL should be updated to match Redirected URL,https://accel.wisconsinpublicservice.com/
https://accessmedicine.mhmedical.com,Redirected,URL should be updated to match Redirected URL,https://accessmedicine.mhmedical.com/
https://acdis.illinois.edu,Redirected,URL should be updated to match Redirected URL,https://acdis.illinois.edu/
https://ace.fsu.edu,Redirected,URL should be updated to match Redirected URL,https://ace.fsu.edu/
https://aclu-de.org,Redirected,URL should be updated to match Redirected URL,https://www.aclu-de.org/
https://acmcu.georgetown.edu,Redirected,URL should be updated to match Redirected URL,https://acmcu.georgetown.edu/
https://adage.com,Redirected,URL should be updated to match Redirected URL,https://adage.com/
https://adam.about.com,Redirected,URL should be updated to match Redirected URL,https://www.verywellhealth.com/
https://adminsecret.monster.com,Redirected,URL should be updated to match Redirected URL,https://www.monster.com/404
https://adprima.com,Redirected,URL should be updated to match Redirected URL,https://adprima.com/
https://adventure.howstuffworks.com,Redirected,URL should be updated to match Redirected URL,https://adventure.howstuffworks.com/
https://advice.writing.utoronto.ca,Redirected,URL should be updated to match Redirected URL,https://advice.writing.utoronto.ca/
https://aether.lbl.gov,Redirected,URL should be updated to match Redirected URL,https://aether.lbl.gov/
https://afdc.energy.gov,Redirected,URL should be updated to match Redirected URL,https://afdc.energy.gov/
https://aflcio.org,Redirected,URL should be updated to match Redirected URL,https://aflcio.org/
https://africanhistory.about.com,Redirected,URL should be updated to match Redirected URL,https://www.thoughtco.com/african-history-4133338
https://aggie-horticulture.tamu.edu,Redirected,URL should be updated to match Redirected URL,https://aggie-horticulture.tamu.edu/
https://agsci.oregonstate.edu,Redirected,URL should be updated to match Redirected URL,https://agsci.oregonstate.edu/
https://aidsinfo.nih.gov,Redirected,URL should be updated to match Redirected URL,https://aidsinfo.nih.gov/
https://airandspace.si.edu,Redirected,URL should be updated to match Redirected URL,https://airandspace.si.edu/
https://airnow.gov,Redirected,URL should be updated to match Redirected URL,https://www.airnow.gov/
https://ak.water.usgs.gov,Redirected,URL should be updated to match Redirected URL,https://www.usgs.gov/centers/asc/
https://alandix.com,Redirected,URL should be updated to match Redirected URL,https://alandix.com/
https://albalearning.com,Redirected,URL should be updated to match Redirected URL,https://albalearning.com/
