HTTPS,Result,Details,UpdatedURL
https://,Failed,Failed to establish a connection,
https://  rather than with an https://.,Failed,Failed to establish a connection,
https:// and the  padlock. These two things will let you know that you are working on a secure  website and that it is safe to provide important personal and private  information.,Failed,Failed to establish a connection,
https:// form of a web page after 10 seconds.,Failed,Failed to establish a connection,
https:// in the address bar to confirm that the website you are browsing is  secure.,Failed,Failed to establish a connection,
"https:// rather than with https://. Additionally, a closed padlock icon will be  visible at the bottom of the Internet browser window or at the top of the  page.",Failed,Failed to establish a connection,
https://) in all electronic citations.,Failed,Failed to establish a connection,
https://.,Failed,Failed to establish a connection,
"https://. Additionally, a closed padlock icon will be  visible at the bottom of the Internet browser window or at the top of the  page.",Failed,Failed to establish a connection,
https://0.tqn.com/d/webclipart/1/0/e/I/5/World-Map.jpg,403,"('Forbidden', 'Request forbidden -- authorization will not help')",
https://1.bp.blogspot.com/-ZyBzv5tRcp4/TXCIadrttsI/AAAAAAAAALo/t3qNVD7zhjs/s1600/primary.jpg,Success,,
https://1.bp.blogspot.com/-qF322panwBY/UPPe07Sy7JI/AAAAAAAACC8/Wu1B4xWnWKk/s1600/River+Otter.jpg,Success,,
https://1.bp.blogspot.com/_H73TPZZVrIY/TS_vUJkmJjI/AAAAAAAAAcE/ZzrQmAzsymg/s1600/discipleship+-+plant+growing.jpg,Success,,
https://10.192.200.243/suite/RendererServlet?handler=forumHandler,Failed,Failed to establish a connection,
https://10.192.200.243/suite/repository/workspace/EDHS.LA002.B.01_138/Course%20Documents/Sequence%20Chain%20Template.pdf,Failed,Failed to establish a connection,
https://10.192.200.243/suite/repository/workspace/EDHS.LA003.D.01_65/Course%20Documents/Recording%20audio.pdf,Failed,Failed to establish a connection,
https://10.192.200.243/suite/repository/workspace/EDHS.LA003.D.01_65/Course%20Documents/Steps%20for%20Active%20Listening.pdf,Failed,Failed to establish a connection,
https://10.192.200.243/suite/repository/workspace/EDHS.LA003.D.01_65/Images/Unit%203/Lesson%209/English%2011%20P4%20U3L9.png,Failed,Failed to establish a connection,
https://10.192.200.243/suite/repository/workspace/EDHS.LA004.D.01_104/Course%20Documents/Steps%20for%20Active%20Listening.pdf,Failed,Failed to establish a connection,
https://103orchard.tenement.org/stories/lower-east-side/,Success,,
https://2.bp.blogspot.com/-SN7b-ClFbRg/UJsNfwKIk5I/AAAAAAAACj8/6Q1Zpad3Nug/s1600/Listening-to-music.jpg,Success,,
https://2.bp.blogspot.com/-Vlq8UisI5ig/T5uYcQdr5MI/AAAAAAAAAGY/9U18dJEi5uQ/s1600/mass_media.jpg,Success,,
https://2.bp.blogspot.com/_AYwY74fDryU/SI9ExWO7PZI/AAAAAAAADXQ/38xpQLgWNpY/s1600-h/charity+ads+2.jpg,Success,,
https://2000clicks.com/mathhelp/GeometrySolidOfRotationPappusCentroid.aspx,Failed - https,Failed with https; Successful as http,http://2000clicks.com/mathhelp/geometrysolidofrotationpappuscentroid.aspx
https://2008sec2lit.blogspot.com/2008/03/timeline-of-events-in-animal-farm.html,Success,,
https://2012books.lardbucket.org/books/beginning-chemistry/s08-02-types-of-chemical-reactions-si.html,Success,,
https://208.69.168.83http//208.69.168.83/suite/repository/workspace/EDHS.MA002.A.01_78/Images/Unit%201/Lesson%201/Algebra1P1U1L1Figures_files/image001.jpg,Failed,Failed to establish a connection,
https://208.69.168.83http//208.69.168.83/suite/repository/workspace/EDHS.MA002.A.01_78/Images/Unit%201/Lesson%201/Algebra1P1U1L1Figures_files/image002.jpg,Failed,Failed to establish a connection,
https://208.69.168.83http//208.69.168.83/suite/repository/workspace/EDHS.MA002.A.01_78/Images/Unit%201/Lesson%201/Algebra1P1U1L1Figures_files/image003.jpg,Failed,Failed to establish a connection,
https://208.69.168.83http//208.69.168.83/suite/repository/workspace/EDHS.MA002.A.01_78/Images/Unit%201/Lesson%201/Algebra1P1U1L1Figures_files/image004.jpg,Failed,Failed to establish a connection,
https://208.69.168.83http//208.69.168.83/suite/repository/workspace/EDHS.MA002.A.01_78/Images/Unit%201/Lesson%201/Algebra1P1U1L1finalCE_files/image001.gif,Failed,Failed to establish a connection,
https://208.69.168.83http//208.69.168.83/suite/repository/workspace/EDHS.MA002.A.01_78/Images/Unit%201/Lesson%201/Algebra1P1U1L1finalCE_files/image002.gif,Failed,Failed to establish a connection,
https://208.69.168.83http//208.69.168.83/suite/repository/workspace/EDHS.MA002.A.01_78/Images/Unit%201/Lesson%201/Algebra1P1U1L1finalCE_files/image003.gif,Failed,Failed to establish a connection,
https://208.69.168.83http//208.69.168.83/suite/repository/workspace/EDHS.MA002.A.01_78/Images/Unit%201/Lesson%201/Algebra1P1U1L1finalCE_files/image004.gif,Failed,Failed to establish a connection,
https://208.69.168.83http//208.69.168.83/suite/repository/workspace/EDHS.MA002.A.01_78/Images/Unit%201/Lesson%201/Algebra1P1U1L1finalCE_files/image005.gif,Failed,Failed to establish a connection,
https://208.69.168.83http//208.69.168.83/suite/repository/workspace/EDHS.MA002.A.01_78/Images/Unit%201/Lesson%201/Algebra1P1U1L1finalCE_files/image007.gif,Failed,Failed to establish a connection,
https://221bakerstreet.org/,Failed,Failed to establish a connection,
https://230nsc1.phy-astr.gsu.edu/hbase/Relativ/relmom.html#c2,Redirected,URL should be updated to match Redirected URL,http://230nsc1.phy-astr.gsu.edu/hbase/Relativ/relmom.html
https://230nsc1.phy-astr.gsu.edu/hbase/thermo/heatra.html,Failed - https,Failed with https; Successful as http,http://230nsc1.phy-astr.gsu.edu/hbase/thermo/heatra.html
https://2wheeledlife.com/blog/the-writing-process/,Failed - https,Failed with https; Successful as http,http://2wheeledlife.com/blog/the-writing-process/
https://3.bp.blogspot.com/_-CiItarO4dU/THvmVFDVv8I/AAAAAAAAGkM/cYf1yaVXL2Q/s1600/arms+up+cropped.JPG,Success,,
https://3.bp.blogspot.com/_IpdLmlPdBeg/TM6raLOiEUI/AAAAAAAAAAg/rJN-y-9cCPU/s1600/invertedpyramid.jpg,Success,,
https://3.bp.blogspot.com/_TZ4zYEBSw1I/S70csI5TccI/AAAAAAAAMMg/h3SIF2wufEQ/s1600/tdi_history_battle_of_waterloo_3.jpg,Success,,
https://3.bp.blogspot.com/_p2rzTMg7j98/TKC5xRaXBAI/AAAAAAAAAQM/1w3SkW3jevo/s400/w.jpg,404,"('Not Found', 'Nothing matches the given URI')",
https://3dparks.wr.usgs.gov/lame/3d/lame5053.jpg,Redirected,URL should be updated to match Redirected URL,https://www.usgs.gov/science-support/osqi/yes/national-parks/lake-mead-national-recreation-area
https://3dparks.wr.usgs.gov/yell/recent/3d/old_faithful266.jpg,Redirected,URL should be updated to match Redirected URL,https://www.usgs.gov/science-support/osqi/yes/national-parks/yellowstone-national-park/
https://454.com/applications/metagenomics/index.asp,Failed,Failed to establish a connection,
https://64.233.167.104/search?q=cache:K1hqMAhz1ZMJ:www.cottonchemistry.bizland.com/chapter17/Chapter%252017%2520Thermochemistry.ppt+classify+enthalpy+changes,Redirected,URL should be updated to match Redirected URL,http://www.google.com/search?q=cache:k1hqmahz1zmj:www.cottonchemistry.bizland.com/chapter17/chapter%252017%2520thermochemistry.ppt+classify+enthalpy+changes
https://6abc.com/news/police-nj-man-who-posted-photos-of-pot-plants-arrested/886356/,Success,,
https://712educators.about.com/cs/activelistening/a/activelistening.htm,Redirected,URL should be updated to match Redirected URL,https://www.thoughtco.com/active-listening-for-the-classroom-6385
https://712educators.about.com/cs/activelistening/a/activelistening_2.htm,Redirected,URL should be updated to match Redirected URL,https://www.thoughtco.com/active-listening-for-the-classroom-6385
https://712educators.about.com/dlclinfo.htm,404,"('Not Found', 'Nothing matches the given URI')",
https://74.125.47.132/search?q=cache:4KvyeW93c2IJ:www.meredith.edu/learn/documents/TIInstructionsforStatistics.doc+%22least+square+regression%22+TI+calculator,Failed,Failed to establish a connection,
https://7gables.org/history/history-of-salem/,Success,,
https://8fit.com/fitness/endurance-training-what-its-all-about-15-minute-workout/,Success,,
https://@media.edisonlearning.com/HS/GLM/docs/LA101.A/doc/ENG1-Memory_IdentityWheelWorksheet.pdf,Failed,Failed to establish a connection,
