EXTERNALLINK_PK,EXTERNAL_URL,NAME_FIELD,Result,Details,UpdatedURL
207424,http://24.media.tumblr.com/tumblr_m0u1f5n9801qfbv70o1_500.jpg,See More,Redirected,URL should be updated to match Redirected URL,https://66.media.tumblr.com/tumblr_m0u1f5n9801qfbv70o1_500.jpg
206850,http://3.bp.blogspot.com/-UfkRIdno8_0/UL9hA0ZO6PI/AAAAAAAABeo/0WE8JvqwF00/s1600/Columbian+Exchange.jpg,See More,Success,,https://3.bp.blogspot.com/-UfkRIdno8_0/UL9hA0ZO6PI/AAAAAAAABeo/0WE8JvqwF00/s1600/Columbian+Exchange.jpg
226615,http://4.bp.blogspot.com/-0XHsY5u3p_8/U1g5JWyzNVI/AAAAAAAAC4c/BfzjptsA78c/s1600/Theme+Vs.+Main+Idea+Anchor+Chart.png,See More,Success,,https://4.bp.blogspot.com/-0XHsY5u3p_8/U1g5JWyzNVI/AAAAAAAAC4c/BfzjptsA78c/s1600/Theme+Vs.+Main+Idea+Anchor+Chart.png
226316,http://712educators.about.com/od/assessments/a/Objective-Test-Taking-Tips.htm,See More,Redirected,URL should be updated to match Redirected URL,https://www.thoughtco.com/multiple-choice-tests-strategies-for-students-3194592
230718,http://abcnews.go.com/GMA/video/health-alert-dietary-supplements-34490210,Instructional Video,Success,,https://abcnews.go.com/GMA/video/health-alert-dietary-supplements-34490210
226537,http://abcnews.go.com/WNT/video/children-adult-sports-injuries-23058623,Need 2 Know,404,"('Not Found', 'Nothing matches the given URI')",
85814,http://abcnews.go.com/topics/news/science/dwarf-planet-pluto.htm?mediatype=Video,Instructional Video,404,"('Not Found', 'Nothing matches the given URI')",
227479,http://academic.udayton.edu/PhillipMagnuson/soundpatterns/microcosms/serialism.html,See More,Success,,https://academic.udayton.edu/PhillipMagnuson/soundpatterns/microcosms/serialism.html
231426,http://academic.udayton.edu/PhillipMagnuson/soundpatterns/microcosms/serialism.html,Instructional Video,Success,,https://academic.udayton.edu/PhillipMagnuson/soundpatterns/microcosms/serialism.html
232414,http://academic.udayton.edu/gregelvers/psy323/labels/ear.asp,Do More,Success,,https://academic.udayton.edu/gregelvers/psy323/labels/ear.asp
231883,http://academicguides.waldenu.edu/writingcenter/grammar/runonsentences,See More,Success,,https://academicguides.waldenu.edu/writingcenter/grammar/runonsentences
226283,http://acousticguitar.com/how-to-unlock-i-iv-v-chord-progressions/,Hear More,Success,,https://acousticguitar.com/how-to-unlock-i-iv-v-chord-progressions/
231703,http://acropolis-virtualtour.gr/,Do More,Failed - https,Failed with https; Successful as http,
228554,http://act.magoosh.com/lessons/1432-dependent-and-independent-clauses,Instructional Video,Success,,https://act.magoosh.com/lessons/1432-dependent-and-independent-clauses
202007,http://activatedstorytheatre.com/folktales/read/FourDragons.html,Hear More,Success,,https://activatedstorytheatre.com/folktales/read/FourDragons.html
228855,http://afe.easia.columbia.edu/mongols/china/china4_a.htm,Do More,Failed - https,Failed with https; Successful as http,
209989,http://allaboutalgae.com/level-1-quiz/,Do More,Failed - https,Failed with https; Successful as http,
226748,http://americanliterature.com/author/stephen-crane/book/the-red-badge-of-courage/summary,See More,Success,,https://americanliterature.com/author/stephen-crane/book/the-red-badge-of-courage/summary
