EXTERNAL_URL,Result,Details,UpdatedURL
https://24.media.tumblr.com/tumblr_m0u1f5n9801qfbv70o1_500.jpg,Redirected,URL should be updated to match Redirected URL,https://66.media.tumblr.com/tumblr_m0u1f5n9801qfbv70o1_500.jpg
https://3.bp.blogspot.com/-UfkRIdno8_0/UL9hA0ZO6PI/AAAAAAAABeo/0WE8JvqwF00/s1600/Columbian+Exchange.jpg,Success,,
https://4.bp.blogspot.com/-0XHsY5u3p_8/U1g5JWyzNVI/AAAAAAAAC4c/BfzjptsA78c/s1600/Theme+Vs.+Main+Idea+Anchor+Chart.png,Success,,
https://712educators.about.com/od/assessments/a/Objective-Test-Taking-Tips.htm,Redirected,URL should be updated to match Redirected URL,https://www.thoughtco.com/multiple-choice-tests-strategies-for-students-3194592
https://abcnews.go.com/GMA/video/health-alert-dietary-supplements-34490210,Success,,
https://abcnews.go.com/WNT/video/children-adult-sports-injuries-23058623,404,"('Not Found', 'Nothing matches the given URI')",
https://abcnews.go.com/topics/news/science/dwarf-planet-pluto.htm?mediatype=Video,404,"('Not Found', 'Nothing matches the given URI')",
https://academic.udayton.edu/PhillipMagnuson/soundpatterns/microcosms/serialism.html,Success,,
https://academic.udayton.edu/PhillipMagnuson/soundpatterns/microcosms/serialism.html,Success,,
https://academic.udayton.edu/gregelvers/psy323/labels/ear.asp,Success,,
https://academicguides.waldenu.edu/writingcenter/grammar/runonsentences,Success,,
https://acousticguitar.com/how-to-unlock-i-iv-v-chord-progressions/,Success,,
https://acropolis-virtualtour.gr/,Failed - https,Failed with https; Successful as http,http://acropolis-virtualtour.gr/
https://act.magoosh.com/lessons/1432-dependent-and-independent-clauses,Success,,
https://activatedstorytheatre.com/folktales/read/FourDragons.html,Success,,
https://afe.easia.columbia.edu/mongols/china/china4_a.htm,Failed - https,Failed with https; Successful as http,http://afe.easia.columbia.edu/mongols/china/china4_a.htm
https://allaboutalgae.com/level-1-quiz/,Failed - https,Failed with https; Successful as http,http://allaboutalgae.com/level-1-quiz/
https://americanliterature.com/author/stephen-crane/book/the-red-badge-of-courage/summary,Success,,
https://americanradioworks.publicradio.org/features/americandream/a1.html,Success,,
https://amhistory.si.edu/militaryhistory/printable/section.asp?id=6,Success,,
https://ancientegyptonline.co.uk/great-pyramid.html,Redirected,URL should be updated to match Redirected URL,https://ancientegyptonline.co.uk/great-pyramid/
https://android-streaming.techrepublic.com/media/2017/10/27/1082796612002/20171024_LibreOffice_Jack_1246902_740.mp4,404,"('Not Found', 'Nothing matches the given URI')",
https://animals.nationalgeographic.com/animals/endangered-animals-quiz/,Redirected,URL should be updated to match Redirected URL,https://www.nationalgeographic.com/animals/quizzes/species-under-threat-quiz-part-1/
https://aplusphysics.com/courses/regents/videos/WaveEquation/WaveEquation.html,Success,,
https://app.discoveryeducation.com/player/?assetGuid=3134DCE5-1710-4D7F-81AA-623AA8C606F2,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=3134DCE5-1710-4D7F-81AA-623AA8C606F2
https://arcadiasystems.org/academia/printtrickster.html,Failed - https,Failed with https; Successful as http,http://arcadiasystems.org/academia/printtrickster.html
https://archaeologychannel.org/video-guide/video-guide-menu/video-guide-summary/222-catalhoeyuek,Redirected,URL should be updated to match Redirected URL,https://www.archaeologychannel.org/video-guide/video-guide-menu/video-guide-summary/222-catalhoeyuek
https://archive.hokulea.com/polynesia.html,Failed - https,Failed with https; Successful as http,http://archive.hokulea.com/polynesia.html
https://archive.org/details/ConstantOfProportionality,Success,,
https://archive.org/details/song_of_wandering_aengus_librivox,Success,,
https://art-educ4kids.weebly.com/aboriginal-art-and-patterning.html,Success,,
https://artyfactory.com/art_appreciation/art_movements/cubism.htm,Success,,
https://assets.civilwar.org/animatedmaps/revolutionary-animated-map/?_ga=2.31536633.635081255.1513275828-1745554945.1513275828,Redirected,URL should be updated to match Redirected URL,https://www.battlefields.org/learn/maps?field_war_tid%5B%5D=2&field_map_type_value_selective%5B%5D=animated&_ga=2.31536633.635081255.1513275828-1745554945.1513275828
https://astro.unl.edu/naap/hr/hr_background1.html,Success,,
https://atlantis.coe.uh.edu/archive/science/science_lessons/scienceles3/capacity/capacity.html,404,"('Not Found', 'Nothing matches the given URI')",
https://aztecs.mrdonn.org/government.html,Success,,
https://bcove.me/kmgyhu21,Redirected,URL should be updated to match Redirected URL,"http://link.brightcove.com/services/player/bcpid625505131001?bckey=AQ~~,AAAACofWkTk~,d-cWVfCeeBEH0CDEexAone3jAYWFdAyT&bctid=4568572287001"
https://bcs.whfreeman.com/webpub/Ektron/Hillis%20Principles%20of%20Life2e/Animated%20Tutorials/pol2e_at_1602_Using_Phylogenetic_Analysis_to_Reconstruct_Evolutionary_History/pol2e_at_1602.html,403,"('Forbidden', 'Request forbidden -- authorization will not help')",
https://bcs.whfreeman.com/webpub/Ektron/Hillis%20Principles%20of%20Life2e/Animated%20Tutorials/pol2e_at_4503_The_Global_Carbon_Cycle/pol2e_at_4503_The_Global_Carbon_Cycle.html,403,"('Forbidden', 'Request forbidden -- authorization will not help')",
https://beetlesproject.org/resources/for-program-leaders/promoting-discussion/#1449353976427-c591993c-7622,Failed - https,Failed with https; Successful as http,http://beetlesproject.org/resources/for-program-leaders/promoting-discussion/#1449353976427-c591993c-7622
https://bestphysicsvideos.blogspot.com/2011/12/julius-sumner-miller-newtons-second-law.html,Success,,
https://betterlesson.com/community/document/36124/character-motivation-graphic-organizer,Success,,
https://betterlesson.com/lesson/resource/3003552/sonnet-worksheet,Success,,
https://bit.ly/1js16eJ,Redirected,URL should be updated to match Redirected URL,https://www.schooltube.com/media/14-Year-Old+Prodigy+Programmer+Dreams+In+Code/1_5d3228or
https://bit.ly/1qhG44V,503,"('Service Unavailable', 'The server cannot process the request due to a high load')",
https://bit.ly/HwlKdf,Redirected,URL should be updated to match Redirected URL,https://www.schooltube.com/media/Types+of+Unemployment/1_ku4u256c
https://bit.ly/I2Qhzn,Redirected,URL should be updated to match Redirected URL,https://www.schooltube.com/media/Consumer+Price+Index/1_5i88lufh
https://bit.ly/oDLEtc,Redirected,URL should be updated to match Redirected URL,https://www.schooltube.com/media/Unit+2+Part+III+Duties+and+Responsibilities/1_ziu8ryis
https://blip.tv/nesn/vince-wilfork-emphasizes-the-importance-of-practice-4540254,Failed,Failed to establish a connection,
https://blog.americanchemistry.com/2015/07/chemicals-in-food-top-chemical-food-myths-debunkednaturally-video/,Success,,
https://blog.kapintdc.com/files/wp/wp-content/uploads/2013/09/BEAT-THE-CLOCK.jpg,Success,,
https://bowenpeters.weebly.com/uploads/8/1/1/9/8119969/writing_process_detailed.pdf,Success,,
https://breakingmuscle.com/video/video-athletic-vs-aesthetic-part-2-endurance-vs-strength,Redirected,URL should be updated to match Redirected URL,https://breakingmuscle.com/fitness/video-athletic-vs-aesthetic-part-2-endurance-vs-strength
https://cdn-media1.teachertube.com/audio604/10398.mp3,Success,,
https://cdn-media1.teachertube.com/mp4video201/21081.mp4,Success,,
https://cdn-media1.teachertube.com/mp4video202/116344.mp4,Success,,
https://cdn-media1.teachertube.com/mp4video604/355050.mp4,Success,,
https://cdn.netsmartz.org/streamingvideo/RealLifeStories-Cyberbullying_YouCantTakeItBack.mp4,Success,,
https://cemc2.math.uwaterloo.ca/mathfrog/english/kidz/div5.shtml,Success,,
https://changingminds.org/disciplines/storytelling/devices/twist_ending.htm,Success,,
https://channel.nationalgeographic.com/videos/trace-evidence/,Redirected,URL should be updated to match Redirected URL,https://www.nationalgeographic.com/tv/
https://chemed.chem.purdue.edu/genchem/topicreview/bp/ch13/unitcell.php,Success,,
https://cimss.ssec.wisc.edu/wxfest/PcpnType/pcpn.html,Success,,
https://classroom.synonym.com/characterization-poetry-1937.html,Redirected,URL should be updated to match Redirected URL,https://penandthepad.com/characterization-poetry-1937.html
https://classroom.synonym.com/examples-main-idea-story-5724.html,Redirected,URL should be updated to match Redirected URL,https://penandthepad.com/examples-main-idea-story-5724.html
https://classroom.synonym.com/understand-narrative-voice-poetry-3286.html,Redirected,URL should be updated to match Redirected URL,https://penandthepad.com/understand-narrative-voice-poetry-3286.html
https://clements.umich.edu/exhibits/online/geometry_of_war/geometry1.php,404,"('Not Found', 'Nothing matches the given URI')",
https://climate.nasa.gov/ClimateTimeMachine/climateTimeMachine.cfm,Redirected,URL should be updated to match Redirected URL,https://climate.nasa.gov/interactives/climate-time-machine/
https://climatekids.nasa.gov/menu/play/,Success,,
https://cloudsovercuba.com/,Failed - https,Failed with https; Successful as http,http://cloudsovercuba.com/
https://cmsfdavis.wikispaces.com/file/view/Aborigines+PowerPoint.pdf,Success,,
https://cnx.org/content/m11649/latest/,Redirected,URL should be updated to match Redirected URL,https://cnx.org/contents/b9f0594e-2995-4ce7-970e-7a17ba38905e@13
https://cnx.org/contents/8bDdDII4@3/Competing-Visions-Federalists-,Success,,
https://cnx.org/contents/_h5IGvLC@10/Dots-Ties-and-Borrowed-Divisio,Success,,
https://constitutioncenter.org/interactive-constitution/amendments/amendment-xii,Redirected,URL should be updated to match Redirected URL,https://constitutioncenter.org/interactive-constitution/amendment/amendment-xii
https://content.edisonlearning.com/suite/ContentServlet?STAGE=PROCESS&ACTION=7&siteID=11883&access=Full%20and%20Modular&sitesection_id=-1&teacher=yes,Failed,Failed to establish a connection,
"https://content.time.com/time/video/player/0,32068,833974025001_2059804,00.html",Success,,
https://criticalthinkeracademy.com/courses/argumentative-essay/lectures/51494,Success,,
https://criticalthinkeracademy.com/courses/argumentative-essay/lectures/51494,Success,,
https://ctle.hccs.edu/gcpass/prepreading/prepreading_topic5.htm,Success,,
https://dai.ly/xbmdzb,Redirected,URL should be updated to match Redirected URL,https://www.dailymotion.com/video/xbmdzb
https://dan-ball.jp/en/javagame/planet/ ,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://dan-ball.jp/en/javagame/planet/
https://davesmey.com/msc1003/special/scales/,Failed - https,Failed with https; Successful as http,http://davesmey.com/msc1003/special/scales/
https://denverartmuseum.org/collections/pre-columbian-art,Redirected,URL should be updated to match Redirected URL,https://denverartmuseum.org/collections/ancient-americas
https://depts.washington.edu/silkroad/exhibit/index.shtml,Success,,
https://developingchild.harvard.edu/resources/inbrief-the-science-of-early-childhood-development/,Success,,
https://dictionary.cambridge.org/us/grammar/british-grammar/suffixes,Success,,
https://discoveringegypt.com/,Success,,
https://discoveringegypt.com/egyptian-hieroglyphic-writing/hieroglyphic-typewriter/,Success,,
https://disneyjunior.disney.com/the-tortoise-and-the-hare-workin-the-hardest,Redirected,URL should be updated to match Redirected URL,https://disneynow.com/all-shows/disney-junior
https://downloads.bbc.co.uk/skillswise/english/en12plan/quiz/en12plan-e3-quiz.pdf,Success,,
https://earth.nullschool.net/,Success,,
