EXTERNALLINK_PK,EXTERNAL_URL,NAME_FIELD,Result
207424,http://24.media.tumblr.com/tumblr_m0u1f5n9801qfbv70o1_500.jpg,See More,Success
206850,http://3.bp.blogspot.com/-UfkRIdno8_0/UL9hA0ZO6PI/AAAAAAAABeo/0WE8JvqwF00/s1600/Columbian+Exchange.jpg,See More,Success
226615,http://4.bp.blogspot.com/-0XHsY5u3p_8/U1g5JWyzNVI/AAAAAAAAC4c/BfzjptsA78c/s1600/Theme+Vs.+Main+Idea+Anchor+Chart.png,See More,Success
226316,http://712educators.about.com/od/assessments/a/Objective-Test-Taking-Tips.htm,See More,Success
230718,http://abcnews.go.com/GMA/video/health-alert-dietary-supplements-34490210,Instructional Video,Success
226537,http://abcnews.go.com/WNT/video/children-adult-sports-injuries-23058623,Need 2 Know,
85814,http://abcnews.go.com/topics/news/science/dwarf-planet-pluto.htm?mediatype=Video,Instructional Video,
227479,http://academic.udayton.edu/PhillipMagnuson/soundpatterns/microcosms/serialism.html,See More,Success
231426,http://academic.udayton.edu/PhillipMagnuson/soundpatterns/microcosms/serialism.html,Instructional Video,Success
232414,http://academic.udayton.edu/gregelvers/psy323/labels/ear.asp,Do More,Success
231883,http://academicguides.waldenu.edu/writingcenter/grammar/runonsentences,See More,Success
226283,http://acousticguitar.com/how-to-unlock-i-iv-v-chord-progressions/,Hear More,Success
231703,http://acropolis-virtualtour.gr/,Do More,
228554,http://act.magoosh.com/lessons/1432-dependent-and-independent-clauses,Instructional Video,Success
202007,http://activatedstorytheatre.com/folktales/read/FourDragons.html,Hear More,Success
228855,http://afe.easia.columbia.edu/mongols/china/china4_a.htm,Do More,
209989,http://allaboutalgae.com/level-1-quiz/,Do More,
226748,http://americanliterature.com/author/stephen-crane/book/the-red-badge-of-courage/summary,See More,Success
233749,http://americanradioworks.publicradio.org/features/americandream/a1.html,Need 2 Know,Success
229148,http://amhistory.si.edu/militaryhistory/printable/section.asp?id=6,Do More,Success
207079,http://ancientegyptonline.co.uk/great-pyramid.html,See More,Success
232900,http://android-streaming.techrepublic.com/media/2017/10/27/1082796612002/20171024_LibreOffice_Jack_1246902_740.mp4,Instructional Video,
174628,http://animals.nationalgeographic.com/animals/endangered-animals-quiz/,Do More,Success
232446,http://aplusphysics.com/courses/regents/videos/WaveEquation/WaveEquation.html,Instructional Video,Success
223204,http://app.discoveryeducation.com/player/?assetGuid=3134DCE5-1710-4D7F-81AA-623AA8C606F2,Hear More,
226639,http://arcadiasystems.org/academia/printtrickster.html,See More,
226415,http://archaeologychannel.org/video-guide/video-guide-menu/video-guide-summary/222-catalhoeyuek,Hear More,Success
231738,http://archive.hokulea.com/polynesia.html,See More,
175403,http://archive.org/details/ConstantOfProportionality,Hear More,Success
208874,http://archive.org/details/song_of_wandering_aengus_librivox,Hear More,Success
227339,http://art-educ4kids.weebly.com/aboriginal-art-and-patterning.html,See More,Success
207215,http://artyfactory.com/art_appreciation/art_movements/cubism.htm,See More,Success
232189,http://assets.civilwar.org/animatedmaps/revolutionary-animated-map/?_ga=2.31536633.635081255.1513275828-1745554945.1513275828,Do More,Success
224922,http://astro.unl.edu/naap/hr/hr_background1.html,Need 2 Know,Success
225801,http://atlantis.coe.uh.edu/archive/science/science_lessons/scienceles3/capacity/capacity.html,Do More,
206158,http://aztecs.mrdonn.org/government.html,See More,Success
87439,http://bcove.me/kmgyhu21,Instructional Video,Success
231061,http://bcs.whfreeman.com/webpub/Ektron/Hillis%20Principles%20of%20Life2e/Animated%20Tutorials/pol2e_at_1602_Using_Phylogenetic_Analysis_to_Reconstruct_Evolutionary_History/pol2e_at_1602.html,Instructional Video,
83116,http://bcs.whfreeman.com/webpub/Ektron/Hillis%20Principles%20of%20Life2e/Animated%20Tutorials/pol2e_at_4503_The_Global_Carbon_Cycle/pol2e_at_4503_The_Global_Carbon_Cycle.html,Instructional Video,
235468,http://beetlesproject.org/resources/for-program-leaders/promoting-discussion/#1449353976427-c591993c-7622,Hear More,
164761,http://bestphysicsvideos.blogspot.com/2011/12/julius-sumner-miller-newtons-second-law.html,See More,Success
225354,http://betterlesson.com/community/document/36124/character-motivation-graphic-organizer,Do More,Success
227938,http://betterlesson.com/lesson/resource/3003552/sonnet-worksheet,Do More,Success
135681,http://bit.ly/1js16eJ,Instructional Video,Success
85581,http://bit.ly/1qhG44V,Instructional Video,
87319,http://bit.ly/HwlKdf,Instructional Video,Success
85101,http://bit.ly/I2Qhzn,Instructional Video,Success
137971,http://bit.ly/oDLEtc,Instructional Video,Success
222863,http://blip.tv/nesn/vince-wilfork-emphasizes-the-importance-of-practice-4540254,See More,
