HTTPS,Result,Details,UpdatedURL
https://0acfb82e-a-1d6b0511-s-sites.googlegroups.com/a/happykidsschool.com.tw/mrbrunken/middleschool/news/amapassignmentthecrusades/Crusades%201-4%20map.jpg?attachauth=ANoY7cr71PXqOvEpoGkAPfUgN7PEHa0lFAXfRl9u0_P4siIDtMBELQMZoc92zm3lWATZYWcViVIxI-RyPbaWnkK_thnfUrN5XcnWQcn-eupnGVWbilQxJnyUM66-gxDdPTqagYUApG6EB7QZiy0qrBcuOIilY25WOPhwiHwq9NI6CMZzKTTTwQTyaobTuImFeGZa-t6jJvf0Xy72ShPlLmWiRJAOMxW7t7blduFbraCUVjkTRasA71kJvOe4v5j3gJmhOODdZhr1PfA2SX5ORrO7fLpZld8DfDuipR_PAsEuPGP3qzZtHe8%3D,Redirected,URL should be updated to match Redirected URL,https://0acfb82e-a-1d6b0511-s-sites.googlegroups.com/a/happykidsschool.com.tw/mrbrunken/middleschool/news/amapassignmentthecrusades/Crusades%201-4%20map.jpg?attachauth=ANoY7cpfG2-pAgWNQyM7V2K-G5SiAquCiuXX8fytt9J4GF8fL4ftiQXg7nmLdBephkDhtuA067R_oHtqmpSwkDMq_B88GuXX8nLbdGEOB8xMxaCSQGqYoMtRajhM4zQnoIiKxQRjAA8Ts7nojrPNl238aVfaeVUsDOX1wrmjCsN6P9QGzy-rZQNOrDySHxcKeRsrsejHphzeiBKN5zxspf3LeK2TmvY6YRCb42IWDdQ3GjF0qHVYumTWb4B_ioL4PV-bvz4byHK2mGpUObV1XhM4AOzzQlPb1d6g-5083EGYqw3tnBfxLMo%3D&attredirects=0
https://208.95.242.4/suite/RendererServlet?ACTION=GIZMOS,Failed,Failed to establish a connection,
https://ageofex.marinersmuseum.org/index.php?type=webpage,404,"('Not Found', 'Nothing matches the given URI')",
https://an.vp.video.l.google.com/videodownload?version=0,Failed,Failed to establish a connection,
https://aneh.vp.video.l.google.com/videoplayback?id=98e18ffdafe00a69,Failed,Failed to establish a connection,
https://aneh.vp.video.l.google.com/videoplayback?id=babaa4e8d55c0fd6,Failed,Failed to establish a connection,
https://app.discoveryeducation.com/core:player/view/assetGuid/55FB33EA-55A5-4709-BBCD-F77F276729F1,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=55fb33ea-55a5-4709-bbcd-f77f276729f1
https://app.discoveryeducation.com/learn/videos/18DB33C4-5F04-47B0-A317-405F308CC49A?hasLocalHost=false,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=18db33c4-5f04-47b0-a317-405f308cc49a
https://app.discoveryeducation.com/learn/videos/34986548-0BFF-45B4-8581-F58420C55452?hasLocalHost=false,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=34986548-0bff-45b4-8581-f58420c55452
https://app.discoveryeducation.com/learn/videos/5B36BF6E-4CB2-4F07-BB90-695D57386E61?hasLocalHost=false,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=5b36bf6e-4cb2-4f07-bb90-695d57386e61
https://app.discoveryeducation.com/learn/videos/5CE2E9A6-384D-42AC-9755-5E28B58F344B?hasLocalHost=false,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=5ce2e9a6-384d-42ac-9755-5e28b58f344b
https://app.discoveryeducation.com/learn/videos/DB75E796-8518-49F7-860A-24FC08FF66F9?hasLocalHost=false,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=db75e796-8518-49f7-860a-24fc08ff66f9
https://app.discoveryeducation.com/player/?assetGuid=B0496E90-CB33-4453-B0DB-52590DEC4D19,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=b0496e90-cb33-4453-b0db-52590dec4d19
https://app.discoveryeducation.com/player/?assetGuid=BFD373D0-3229-4468-8ADB-E0345B8054FD,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=bfd373d0-3229-4468-8adb-e0345b8054fd
https://app.discoveryeducation.com/player/view/assetGuid/52506C35-72A4-4504-8E02-C5F2833C8E12,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=52506c35-72a4-4504-8e02-c5f2833c8e12
https://app.discoveryeducation.com/search#Ntt=agriculture great plains,Redirected,URL should be updated to match Redirected URL,https://app.discoveryeducation.com/learn/signin?next=https%3A%2F%2Fapp%2Ediscoveryeducation%2Ecom%2Fsearch
https://app.discoveryeducation.com/search#Ntt=barbed wire,Redirected,URL should be updated to match Redirected URL,https://app.discoveryeducation.com/learn/signin?next=https%3A%2F%2Fapp%2Ediscoveryeducation%2Ecom%2Fsearch
https://app.discoveryeducation.com/search#Ntt=cowboy,Redirected,URL should be updated to match Redirected URL,https://app.discoveryeducation.com/learn/signin?next=https%3A%2F%2Fapp%2Ediscoveryeducation%2Ecom%2Fsearch
https://app.discoveryeducation.com/search?Ntt=british+india#selItemsPerPage=60,Redirected,URL should be updated to match Redirected URL,https://app.discoveryeducation.com/learn/signin?next=https%3A%2F%2Fapp%2Ediscoveryeducation%2Ecom%2Fsearch%3Fntt%3Dbritish%2Bindia
https://archive.org/details/oldtimeradio?,Success,,
https://bcs.whfreeman.com/yates2e/pages/bcs-main.asp?s=00020,404,"('Not Found', 'Nothing matches the given URI')",
https://betterlesson.com/unit/9687/the-author-s-point-is#/document/79346/implied-main-idea?lessonID=18945,404,"('Not Found', 'Nothing matches the given URI')",
https://bilingualiesae.files.wordpress.com/2012/01/biography1.png?w=645,Success,,
https://c03.apogee.net/contentplayer/?coursetype=kids,Redirected,URL should be updated to match Redirected URL,https://c03.apogee.net/mvc/home/hes/land
https://connect.discoveryeducation.com/index.cfm?,Redirected,URL should be updated to match Redirected URL,https://www.discoveryeducation.com/?ErrMsg=Please%20supply%20a%20Code.%20Please%20try%20again.
https://connect.discoveryeducation.com/index.cfm?cdPartner=BA34-27GQ,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?cdpartner=ba34-27gq
https://connect.discoveryeducation.com/index.cfm?guidAssetID= f90889fc-09d6-4fcb-99e2-c3127e1e3648,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=f90889fc-09d6-4fcb-99e2-c3127e1e3648
https://connect.discoveryeducation.com/index.cfm?guidAssetID=002777FA-25A1-4011-931F-63E2910C4515,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=002777fa-25a1-4011-931f-63e2910c4515
https://connect.discoveryeducation.com/index.cfm?guidAssetID=0050D163-702D-471B-AC45-22FE1E74B359,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=0050d163-702d-471b-ac45-22fe1e74b359
https://connect.discoveryeducation.com/index.cfm?guidAssetID=00862BAD-8117-49C1-AD1C-E40A32AB94F0,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=00862bad-8117-49c1-ad1c-e40a32ab94f0
https://connect.discoveryeducation.com/index.cfm?guidAssetID=008D3825-30A2-4728-B107-3E764453C444,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=008d3825-30a2-4728-b107-3e764453c444
https://connect.discoveryeducation.com/index.cfm?guidAssetID=00904486-A96C-4FE3-816D-617682135245,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=00904486-a96c-4fe3-816d-617682135245
https://connect.discoveryeducation.com/index.cfm?guidAssetID=00d81342-6794-44ef-9def-1b0f7ef21403,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=00d81342-6794-44ef-9def-1b0f7ef21403
https://connect.discoveryeducation.com/index.cfm?guidAssetID=01385994-9A6C-41D1-A4C0-C0D10D7FA788,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=01385994-9a6c-41d1-a4c0-c0d10d7fa788
https://connect.discoveryeducation.com/index.cfm?guidAssetID=01392250-2489-4319-8033-21A62A1945FA,Failed - Bad Syntax,"Failed because of capitalization, spacing, or other bad syntax; Successful as reformatted",https://connect.discoveryeducation.com/index.cfm?&cdPartner=BA34-27GQ&cdUser=26DA-9267&guidAssetID=01392250-2489-4319-8033-21a62a1945fa
