USERS_ID,SUBMITTED_TIMESTAMP,PK_ID,NAME_FIELD,PATH,
176840,10-SEP-20 06.48.48.572000000 AM,1118931,Mifflinburg School Biology Part 1 Lesson 2 Video Worksheet Notes.pdf,http://52.252.6.133/suite/repository/workspace/Users/176840/Assessment Attempt Attachments/21760874/390154/Mifflinburg School Biology Part 1 Lesson 2 Video Worksheet Notes.pdf,Success
176840,10-SEP-20 06.48.48.572000000 AM,1118933,Mifflinburg School Biology Part 1 Lesson 2 Custom taxonomic.pdf,http://52.252.6.133/suite/repository/workspace/Users/176840/Assessment Attempt Attachments/21760874/390155/Mifflinburg School Biology Part 1 Lesson 2 Custom taxonomic.pdf,Success
176840,10-SEP-20 06.48.48.572000000 AM,1118932,Mifflinburg School Biology Part 1 Lesson 2 Worksheet.pdf,http://52.252.6.133/suite/repository/workspace/Users/176840/Assessment Attempt Attachments/21760874/390289/Mifflinburg School Biology Part 1 Lesson 2 Worksheet.pdf,Success
166177,10-SEP-20 05.32.20.327000000 AM,1118920,BA98B91A-FB24-4B11-8AC1-513D0B022318.heic,http://52.252.6.133/suite/repository/workspace/Users/166177/Assessment Attempt Attachments/21760593/110392/BA98B91A-FB24-4B11-8AC1-513D0B022318.heic,Success
166177,10-SEP-20 05.32.20.327000000 AM,1118921,02EBA5D7-62B3-4F88-A1D7-9AF3989BD392.heic,http://52.252.6.133/suite/repository/workspace/Users/166177/Assessment Attempt Attachments/21760593/132091/02EBA5D7-62B3-4F88-A1D7-9AF3989BD392.heic,Success
97802,10-SEP-20 05.26.24.072000000 AM,1118926,New Section 5.one,http://52.252.6.133/suite/repository/workspace/Users/97802/Assessment Attempt Attachments/21609167/459644/New Section 5.one,Success
177064,10-SEP-20 05.18.25.105000000 AM,1118925,Rhetorical_Speech_Action_Project_Worksheet.pdf,http://52.252.6.133/suite/repository/workspace/Users/177064/Assessment Attempt Attachments/21754157/427451/Rhetorical_Speech_Action_Project_Worksheet.pdf,Success
171355,10-SEP-20 05.03.05.657000000 AM,1118924,WS.EDHS.2019.CA.EL.X.1 (1).pdf,http://52.252.6.133/suite/repository/workspace/Users/171355/Assessment Attempt Attachments/21756987/445377/WS.EDHS.2019.CA.EL.X.1 (1).pdf,Success
73318,10-SEP-20 04.56.32.658000000 AM,1118919,Rhetorical_Speech_External_Investigation_Worksheet.pdf,http://52.252.6.133/suite/repository/workspace/Users/73318/Assessment Attempt Attachments/21760594/427449/Rhetorical_Speech_External_Investigation_Worksheet.pdf,Success
109152,10-SEP-20 04.38.33.180000000 AM,1118918,(2) MyRecording2.mp3,http://52.252.6.133/suite/repository/workspace/Users/109152/Assessment Attempt Attachments/21704838/461234/(2) MyRecording2.mp3,Success
170589,10-SEP-20 04.34.39.491000000 AM,1118912,Mural-Design_External_Investigation_Worksheet.pdf,http://52.252.6.133/suite/repository/workspace/Users/170589/Assessment Attempt Attachments/21760704/427404/Mural-Design_External_Investigation_Worksheet.pdf,Success
177728,10-SEP-20 04.26.45.539000000 AM,1118917,English 3 Narrative.docx,http://52.252.6.133/suite/repository/workspace/Users/177728/Assessment Attempt Attachments/21754530/459646/English 3 Narrative.docx,Success
119614,10-SEP-20 04.25.17.767000000 AM,1118914,spanish words.pdf,http://52.252.6.133/suite/repository/workspace/Users/119614/Assessment Attempt Attachments/21730043/428866/spanish words.pdf,Success
119614,10-SEP-20 04.25.17.767000000 AM,1118915,spanish alphabet.pdf,http://52.252.6.133/suite/repository/workspace/Users/119614/Assessment Attempt Attachments/21730043/428866/spanish alphabet.pdf,Success
172917,10-SEP-20 04.09.01.929000000 AM,1118910,Me levanto a las nueve de la manana.docx,http://52.252.6.133/suite/repository/workspace/Users/172917/Assessment Attempt Attachments/21760448/430795/Me levanto a las nueve de la manana.docx,Success
149643,10-SEP-20 04.05.00.630000000 AM,1118909,World History Unit 2 Quiz 2 Question #19 .pdf,http://52.252.6.133/suite/repository/workspace/Users/149643/Assessment Attempt Attachments/21758516/378586/World History Unit 2 Quiz 2 Question #19 .pdf,500
149643,10-SEP-20 04.05.00.630000000 AM,1118755,World History Unit 2 Quiz 2 Question #1 .pdf,http://52.252.6.133/suite/repository/workspace/Users/149643/Assessment Attempt Attachments/21758516/384985/World History Unit 2 Quiz 2 Question #1 .pdf,500
149643,10-SEP-20 04.05.00.630000000 AM,1118898,World History Unit 2 Quiz 2 Question #5 .pdf,http://52.252.6.133/suite/repository/workspace/Users/149643/Assessment Attempt Attachments/21758516/241611/World History Unit 2 Quiz 2 Question #5 .pdf,500
149643,10-SEP-20 04.05.00.630000000 AM,1118901,World History Unit 2 Quiz 2 Question #14 .pdf,http://52.252.6.133/suite/repository/workspace/Users/149643/Assessment Attempt Attachments/21758516/378543/World History Unit 2 Quiz 2 Question #14 .pdf,500
73318,10-SEP-20 04.03.36.575000000 AM,1118908,Four Ways to Be a Better Listener.docx,http://52.252.6.133/suite/repository/workspace/Users/73318/Assessment Attempt Attachments/21760200/427507/Four Ways to Be a Better Listener.docx,Success
176840,10-SEP-20 04.02.18.942000000 AM,1118907,Mifflinburg Shool - Biology Lesson 1 Worksheets 10Q's.pdf,http://52.252.6.133/suite/repository/workspace/Users/176840/Assessment Attempt Attachments/21759576/390153/Mifflinburg Shool - Biology Lesson 1 Worksheets 10Q's.pdf,Success
176840,10-SEP-20 04.02.18.942000000 AM,1118906,Mifflinburg Shool - Biology Lesson 1 Worksheets 4Q's.pdf,http://52.252.6.133/suite/repository/workspace/Users/176840/Assessment Attempt Attachments/21759576/390152/Mifflinburg Shool - Biology Lesson 1 Worksheets 4Q's.pdf,Success
174304,10-SEP-20 03.59.32.297000000 AM,1118904,science ionic and covalent bonds.pdf,http://52.252.6.133/suite/repository/workspace/Users/174304/Assessment Attempt Attachments/21729302/467899/science ionic and covalent bonds.pdf,Success
174304,10-SEP-20 03.59.32.297000000 AM,1118905,science ionic and covalent bonds.pdf,http://52.252.6.133/suite/repository/workspace/Users/174304/Assessment Attempt Attachments/21729302/467899/science ionic and covalent bonds.pdf,Success
172252,10-SEP-20 03.59.05.992000000 AM,1118903,Unit2Lesson25TextFile_IrisThomas.docx,http://52.252.6.133/suite/repository/workspace/Users/172252/Assessment Attempt Attachments/21760169/430874/Unit2Lesson25TextFile_IrisThomas.docx,Success
172252,10-SEP-20 03.59.05.992000000 AM,1118902,Unit2Lesson25SpeakingAssignment_IrisThomas.mp3,http://52.252.6.133/suite/repository/workspace/Users/172252/Assessment Attempt Attachments/21760169/430874/Unit2Lesson25SpeakingAssignment_IrisThomas.mp3,Success
177555,10-SEP-20 03.47.52.301000000 AM,1118892,Vocaroo 09 Sep 2020 23_17_47 EDT 1gzcLFupWnwi.mp3,http://52.252.6.133/suite/repository/workspace/Users/177555/Assessment Attempt Attachments/21760133/428836/Vocaroo 09 Sep 2020 23_17_47 EDT 1gzcLFupWnwi.mp3,Success
177555,10-SEP-20 03.47.52.301000000 AM,1118885,Vocaroo 09 Sep 2020 23_12_37 EDT 16Me2jjJF1lN.mp3,http://52.252.6.133/suite/repository/workspace/Users/177555/Assessment Attempt Attachments/21760133/428836/Vocaroo 09 Sep 2020 23_12_37 EDT 16Me2jjJF1lN.mp3,Success
177555,10-SEP-20 03.47.52.301000000 AM,1118900,Vocaroo 09 Sep 2020 23_46_52 EDT 1gOXlz68EfdA.mp3,http://52.252.6.133/suite/repository/workspace/Users/177555/Assessment Attempt Attachments/21760133/428836/Vocaroo 09 Sep 2020 23_46_52 EDT 1gOXlz68EfdA.mp3,Success
177100,10-SEP-20 03.35.02.066000000 AM,1118897,WS1.EDHS.PE001.X.9 (2).pdf,http://52.252.6.133/suite/repository/workspace/Users/177100/Assessment Attempt Attachments/21760308/457115/WS1.EDHS.PE001.X.9 (2).pdf,Success
170371,10-SEP-20 03.32.40.189000000 AM,1118895,Recording.m4a,http://52.252.6.133/suite/repository/workspace/Users/170371/Assessment Attempt Attachments/21758649/430878/Recording.m4a,Success
170371,10-SEP-20 03.32.40.189000000 AM,1118896,Recording.mp3,http://52.252.6.133/suite/repository/workspace/Users/170371/Assessment Attempt Attachments/21758649/430878/Recording.mp3,Success
170371,10-SEP-20 03.32.40.189000000 AM,1118894,spanish.txt,http://52.252.6.133/suite/repository/workspace/Users/170371/Assessment Attempt Attachments/21758649/430878/spanish.txt,Success
172311,10-SEP-20 03.19.58.666000000 AM,1118893,Product Research Chemistry .pdf,http://52.252.6.133/suite/repository/workspace/Users/172311/Assessment Attempt Attachments/21734907/401179/Product Research Chemistry .pdf,Success
105260,10-SEP-20 03.17.39.624000000 AM,1118891,Up.pdf,http://52.252.6.133/suite/repository/workspace/Users/105260/Assessment Attempt Attachments/21759854/408750/Up.pdf,Success
176170,10-SEP-20 03.16.57.393000000 AM,1118890,Rhetorical_Speech_Action_Project_Worksheet (1).pdf,http://52.252.6.133/suite/repository/workspace/Users/176170/Assessment Attempt Attachments/21760199/427451/Rhetorical_Speech_Action_Project_Worksheet (1).pdf,Success
176264,10-SEP-20 03.16.50.888000000 AM,1118886,4291A9CD-1C06-4E05-A2D4-8E47E4637741.jpeg,http://52.252.6.133/suite/repository/workspace/Users/176264/Assessment Attempt Attachments/21760194/390157/4291A9CD-1C06-4E05-A2D4-8E47E4637741.jpeg,Success
176264,10-SEP-20 03.16.50.888000000 AM,1118888,59120A4F-0406-41DA-852B-079EDB395B03.jpeg,http://52.252.6.133/suite/repository/workspace/Users/176264/Assessment Attempt Attachments/21760194/390157/59120A4F-0406-41DA-852B-079EDB395B03.jpeg,Success
170201,10-SEP-20 03.13.13.747000000 AM,1118879,Vocaroo 09 Sep 2020 23_01_11 EDT 1eAkVv9w61bw.mp3,http://52.252.6.133/suite/repository/workspace/Users/170201/Assessment Attempt Attachments/21759993/384151/Vocaroo 09 Sep 2020 23_01_11 EDT 1eAkVv9w61bw.mp3,Success
170201,10-SEP-20 03.13.13.747000000 AM,1118883,Vocaroo 09 Sep 2020 23_12_55 EDT 1k07MBz4LPTE.mp3,http://52.252.6.133/suite/repository/workspace/Users/170201/Assessment Attempt Attachments/21759993/384123/Vocaroo 09 Sep 2020 23_12_55 EDT 1k07MBz4LPTE.mp3,Success
