USERS_ID,SUBMITTED_TIMESTAMP,PK_ID,ROOT_RESOURCE_ID,NAME_FIELD,PATH,VERSION_NUMBER,DESCRIPTION,LOAD_ID,IS_ACTIVE
404069,11-SEP-20 11.37.23.225000000 PM,1057775,,Unit 2 Test.png,https://esw.edisonlearning.com/suite/repository/workspace/Users/404069/Assessment Attempt Attachments/36553278/145327/Unit 2 Test.png,,,,T
403842,11-SEP-20 11.37.22.455000000 PM,1057774,,x axis y axis graph.docx,https://esw.edisonlearning.com/suite/repository/workspace/Users/403842/Assessment Attempt Attachments/36544318/437993/x axis y axis graph.docx,,,,T
403842,11-SEP-20 11.37.22.455000000 PM,1057701,,x axis y axis graph.docx,https://esw.edisonlearning.com/suite/repository/workspace/Users/403842/Assessment Attempt Attachments/36544318/139437/x axis y axis graph.docx,,,,T
403842,11-SEP-20 11.37.22.455000000 PM,1057768,,x axis y axis graph.docx,https://esw.edisonlearning.com/suite/repository/workspace/Users/403842/Assessment Attempt Attachments/36544318/137464/x axis y axis graph.docx,,,,T
402501,11-SEP-20 11.35.44.130000000 PM,1057773,,chapter2.pdf,https://esw.edisonlearning.com/suite/repository/workspace/Users/402501/Assessment Attempt Attachments/36547376/753243/chapter2.pdf,,,,T
402501,11-SEP-20 11.35.44.130000000 PM,1057744,,The great gatsby.pdf,https://esw.edisonlearning.com/suite/repository/workspace/Users/402501/Assessment Attempt Attachments/36547376/753298/The great gatsby.pdf,,,,T
402253,11-SEP-20 11.30.51.175000000 PM,1057772,,image.jpg,https://esw.edisonlearning.com/suite/repository/workspace/Users/402253/Assessment Attempt Attachments/36553308/670506/image.jpg,,,,T
402253,11-SEP-20 11.30.51.175000000 PM,1057771,,(2) image.jpg,https://esw.edisonlearning.com/suite/repository/workspace/Users/402253/Assessment Attempt Attachments/36553308/616699/(2) image.jpg,,,,T
402253,11-SEP-20 11.30.51.175000000 PM,1057769,,image.jpg,https://esw.edisonlearning.com/suite/repository/workspace/Users/402253/Assessment Attempt Attachments/36553308/616699/image.jpg,,,,T
403409,11-SEP-20 11.29.27.265000000 PM,1057770,,Vocaroo 10 Sep 2020 09_48_00 EDT 1kLmCWkSeUly.mp3,https://esw.edisonlearning.com/suite/repository/workspace/Users/403409/Assessment Attempt Attachments/36553313/670217/Vocaroo 10 Sep 2020 09_48_00 EDT 1kLmCWkSeUly.mp3,,,,T
