USERS_ID,SUBMITTED_TIMESTAMP,PK_ID,ROOT_RESOURCE_ID,NAME_FIELD,PATH,VERSION_NUMBER,DESCRIPTION,LOAD_ID,IS_ACTIVE
46293,17-SEP-20 06.17.49.025000000 AM,1128059,,CI-logo.png,http://52.252.6.133/suite/repository/workspace/Users/46293/Assessment Attempt Attachments/21903308/126292/CI-logo.png,,,,T
169935,17-SEP-20 06.12.40.844000000 AM,1128057,,jhgkl.png,http://52.252.6.133/suite/repository/workspace/Users/169935/Assessment Attempt Attachments/21902481/160474/jhgkl.png,,,,T
169935,17-SEP-20 06.12.40.844000000 AM,1128058,,dfh.png,http://52.252.6.133/suite/repository/workspace/Users/169935/Assessment Attempt Attachments/21902481/160476/dfh.png,,,,T
180346,17-SEP-20 05.54.14.951000000 AM,1128048,,History Unit 1 Lesson 5.pdf,http://52.252.6.133/suite/repository/workspace/Users/180346/Assessment Attempt Attachments/21903134/161129/History Unit 1 Lesson 5.pdf,,,,T
180346,17-SEP-20 05.54.14.951000000 AM,1128050,,Give two examples of ways that the government could create loyalty.pdf,http://52.252.6.133/suite/repository/workspace/Users/180346/Assessment Attempt Attachments/21903134/38939/Give two examples of ways that the government could create loyalty.pdf,,,,T
180346,17-SEP-20 05.54.14.951000000 AM,1128056,,Why is the U.pdf,http://52.252.6.133/suite/repository/workspace/Users/180346/Assessment Attempt Attachments/21903134/383545/Why is the U.pdf,,,,T
180346,17-SEP-20 05.54.14.951000000 AM,1128054,,Describe a Unitary form of government (1).pdf,http://52.252.6.133/suite/repository/workspace/Users/180346/Assessment Attempt Attachments/21903134/178758/Describe a Unitary form of government (1).pdf,,,,T
177728,17-SEP-20 05.53.10.846000000 AM,1128055,,Persuasive Essay Analysis.pdf,http://52.252.6.133/suite/repository/workspace/Users/177728/Assessment Attempt Attachments/21903225/459601/Persuasive Essay Analysis.pdf,,,,T
170371,17-SEP-20 05.46.21.896000000 AM,1128053,,radical2.png,http://52.252.6.133/suite/repository/workspace/Users/170371/Assessment Attempt Attachments/21902806/46661/radical2.png,,,,T
170371,17-SEP-20 05.46.21.896000000 AM,1128051,,radical.png,http://52.252.6.133/suite/repository/workspace/Users/170371/Assessment Attempt Attachments/21902806/452141/radical.png,,,,T
170371,17-SEP-20 05.46.21.896000000 AM,1128037,,piecewise.png,http://52.252.6.133/suite/repository/workspace/Users/170371/Assessment Attempt Attachments/21902806/92201/piecewise.png,,,,T
46293,17-SEP-20 05.24.47.597000000 AM,1128047,,short stories.pdf,http://52.252.6.133/suite/repository/workspace/Users/46293/Assessment Attempt Attachments/21817738/459246/short stories.pdf,,,,T
46293,17-SEP-20 05.24.47.597000000 AM,1128045,,yellow wallpaper.pdf,http://52.252.6.133/suite/repository/workspace/Users/46293/Assessment Attempt Attachments/21817738/459192/yellow wallpaper.pdf,,,,T
46293,17-SEP-20 05.24.47.597000000 AM,1128034,,american history.pdf,http://52.252.6.133/suite/repository/workspace/Users/46293/Assessment Attempt Attachments/21817738/459056/american history.pdf,,,,T
134652,17-SEP-20 05.17.01.733000000 AM,1128046,,Untitled document (5).pdf,http://52.252.6.133/suite/repository/workspace/Users/134652/Assessment Attempt Attachments/21850092/459612/Untitled document (5).pdf,,,,T
177494,17-SEP-20 05.09.04.979000000 AM,1128043,,construction.docx,http://52.252.6.133/suite/repository/workspace/Users/177494/Assessment Attempt Attachments/21903045/312890/construction.docx,,,,T
