HTTPS,Result,Details,UpdatedURL
https://api.edmodo.com/,Redirected,URL should be updated to match Redirected URL,https://api.edmodo.com/login
https://apps.mathlearningcenter.org/number-line/,Success,,
https://archive.org/details/DateWith1950,Success,,
https://archive.org/download/jana-gana-mana/jana_gana_mana.mp3,Redirected,URL should be updated to match Redirected URL,https://ia800304.us.archive.org/15/items/jana-gana-mana/jana_gana_mana.mp3
https://archive.org/stream/RayBradburyDandelionWine/Ray_Bradbury_-_Dandelion_wine#page/n61/mode/2up,404,"('Not Found', 'Nothing matches the given URI')",
https://ballotpedia.org/Initiative_and_referendum,Redirected,URL should be updated to match Redirected URL,https://ballotpedia.org/Initiative_and_referendum
https://cdn.vox-cdn.com/thumbor/dLvw3QIUp1XNfawJXQ1Wth1Kil0=/0x0:2040x1360/1200x800/filters:focal(857x517:1183x843)/cdn.vox-cdn.com/uploads/chorus_image/image/56698297/main_1200_copy.0.jpg,Success,,
https://chnm.gmu.edu/1989/exhibits/everyday-life/introduction,Failed - https,Failed with https; Successful as http,http://chnm.gmu.edu/1989/exhibits/everyday-life/introduction
https://commons.wikimedia.org/wiki/File:Periodic_Table_Of_Elements_2016.jpg,404,"('Not Found', 'Nothing matches the given URI')",
https://designschool.canva.com/blog/examples-of-propaganda/,403,"('Forbidden', 'Request forbidden -- authorization will not help')",
https://docs.google.com/document/d/1-G0aoCXVqCHLqB0CZOIZtSkJaA24AiVNx5Wg0g2tiUY/edit?usp=sharing,Success,,
https://docs.google.com/document/d/18pkagOTwbienGCAa-YI2ECWYwzh2VmLILXiczlkSavo/edit?usp=sharing,Success,,
https://docs.google.com/document/d/1Ae_LvqUwu80cbd_Zca_ntfd5x7iF7GJBj2-gP8VYR5s/edit?usp=sharing,Success,,
https://docs.google.com/document/d/1DhvDv3pV_MtPFhTanAIxHza093GhJ2Pt8iyE4PAzNow/edit?usp=sharing,Success,,
https://docs.google.com/document/d/1EC0_9BFgjSA5mQlj6Fg-Lt6QKWz6hpz8LzdtmNW2wRA/edit?usp=sharing,Success,,
https://docs.google.com/document/d/1EMr30i_wXRBtjQcnG-p6rYIVxf4oGtSqSGsqZYvBQiY/edit?usp=sharing,Success,,
https://docs.google.com/document/d/1Ia4fd2T7Z1-DwihhFEB69ePaU4SlhYrpoXo-VXz4V7k/edit?usp=sharing,Success,,
https://docs.google.com/document/d/1L5MFcYc0C-pL7GGmT3zQoZgCi0whcVpxRoYzC8bH6co/edit?usp=sharing,Success,,
https://docs.google.com/document/d/1LUh6_N4Ln6Ig7E0ZCurb9MXOINO_d1DyTCZMp5-JZ_A/edit?usp=sharing,Success,,
https://docs.google.com/document/d/1MZGJCzi9cfEsu89yWCy85mzx9waJDLN2e0qHPzDX-OY/edit?usp=sharing,Success,,
https://docs.google.com/document/d/1N_Tva9ib2VsLdkkQ5bDmw66ZV39uATUqhx1p9lItYP8/edit?usp=sharing,Success,,
https://docs.google.com/document/d/1RCmteeFfYyDdJXRQlLlqv15nfUBZ86CcDi6KQx3VfmY/edit?usp=sharing,Success,,
https://docs.google.com/document/d/1RDkeDYbWro62WJRRNla2bxdvvlXo9AmFv8m_QevWKl0/edit?usp=sharing,Success,,
https://docs.google.com/document/d/1RqNF-To4p4zcYDlVEUJkTVIaR1h11lgcGy8CVA4-Tb0/edit?usp=sharing,Success,,
https://docs.google.com/document/d/1WBOLb923uiYOx4uRwferGXUpExC55bkIavaOYWfMHA4/edit?usp=sharing,Success,,
https://docs.google.com/document/d/1_EbFupVQbEJcpi7DU4JeJIXgLbyuDL_Y3hvmsY4wMAY/edit?usp=sharing,Success,,
https://docs.google.com/document/d/1_GwU1Dq_kjKZH6msNx_KhzgDs2Zc0ESv/edit,Success,,
https://docs.google.com/document/d/1_h-bKVSwF47bfmUSIcnFLpoNbKAE4vrUHyZzm6MiJtM/edit?usp=sharing,Success,,
https://docs.google.com/document/d/1fKaAOG5a8ZegaceegZfdYBO5GTyJl3Mhl5V-agGAzgQ/edit?usp=sharing,Success,,
https://docs.google.com/document/d/1jf2HrTU3juLAeIKjVyThhjHOZiaJQyj5RGa0L1LJmAY/edit?usp=sharing,Success,,
https://docs.google.com/document/d/1jn3NNvRGBRt2CuY7O5Fyxj9vUYM6jkuhy9Hpgjr1Mq8/edit?usp=sharing,Success,,
https://docs.google.com/document/d/1mPyXNiHapYgLF0t2YIrkc2ZPA8JFb_WbLVs6pFI_73A/edit?usp=sharing,Success,,
https://docs.google.com/document/d/1m_dDXTmfuIjljCne_PRpXy2xGxz_b-2du0_XtFisHN0/edit?usp=sharing,Success,,
