HTTPS,Result,Details,UpdatedURL
https://,Failed,Failed to establish a connection,
https://  rather than with an https://.&nbsp;,Failed,Failed to establish a connection,
https:// and the  padlock. These two things will let you know that you are working on a secure  website and that it is safe to provide important personal and private  information.,Failed,Failed to establish a connection,
https:// form of a web page after 10 seconds.,Failed,Failed to establish a connection,
https:// in the address bar to confirm that the website you are browsing is  secure.,Failed,Failed to establish a connection,
"https:// rather than with https://. Additionally, a closed padlock icon will be  visible at the bottom of the Internet browser window or at the top of the  page.&nbsp;The lock can be found in several different locations, depending on  the web browser you are using, but it always means that you are on a secure  site.",Failed,Failed to establish a connection,
https://) in all electronic citations.,Failed,Failed to establish a connection,
https://.,Failed,Failed to establish a connection,
"https://. Additionally, a closed padlock icon will be  visible at the bottom of the Internet browser window or at the top of the  page.&nbsp;The lock can be found in several different locations, depending on  the web browser you are using, but it always means that you are on a secure  site.",Failed,Failed to establish a connection,
https://.&nbsp;,Failed,Failed to establish a connection,
https://.&nbsp; A computer with an FTP address is typically  dedicated to receive an FTP connection.&nbsp; A computer that is set up to  receive an FTP connection is referred to as an FTP server or FTP site.,Failed,Failed to establish a connection,
https://0.tqn.com/d/webclipart/1/0/e/I/5/World-Map.jpg,403,"('Forbidden', 'Request forbidden -- authorization will not help')",
https://1.bp.blogspot.com/-ZyBzv5tRcp4/TXCIadrttsI/AAAAAAAAALo/t3qNVD7zhjs/s1600/primary.jpg,Success,,
https://1.bp.blogspot.com/-qF322panwBY/UPPe07Sy7JI/AAAAAAAACC8/Wu1B4xWnWKk/s1600/River+Otter.jpg,Success,,
https://1.bp.blogspot.com/_H73TPZZVrIY/TS_vUJkmJjI/AAAAAAAAAcE/ZzrQmAzsymg/s1600/discipleship+-+plant+growing.jpg,Success,,
https://10.192.200.243/suite/RendererServlet?handler=forumHandler&amp;renderer_pk1=@@pk_id@@&amp;forumID=2480,Failed,Failed to establish a connection,
https://10.192.200.243/suite/RendererServlet?handler=forumHandler&amp;renderer_pk1=@@pk_id@@&amp;forumID=29209,Failed,Failed to establish a connection,
https://10.192.200.243/suite/RendererServlet?handler=forumHandler&amp;renderer_pk1=@@pk_id@@&amp;forumID=3152,Failed,Failed to establish a connection,
https://10.192.200.243/suite/repository/workspace/EDHS.LA002.B.01_138/Course%20Documents/Sequence%20Chain%20Template.pdf,Failed,Failed to establish a connection,
https://10.192.200.243/suite/repository/workspace/EDHS.LA003.D.01_65/Course%20Documents/Recording%20audio.pdf,Failed,Failed to establish a connection,
https://10.192.200.243/suite/repository/workspace/EDHS.LA003.D.01_65/Course%20Documents/Steps%20for%20Active%20Listening.pdf,Failed,Failed to establish a connection,
https://10.192.200.243/suite/repository/workspace/EDHS.LA003.D.01_65/Images/Unit%203/Lesson%209/English%2011%20P4%20U3L9.png,Failed,Failed to establish a connection,
https://10.192.200.243/suite/repository/workspace/EDHS.LA004.D.01_104/Course%20Documents/Steps%20for%20Active%20Listening.pdf,Failed,Failed to establish a connection,
https://103orchard.tenement.org/stories/lower-east-side/,Success,,
https://2.bp.blogspot.com/-SN7b-ClFbRg/UJsNfwKIk5I/AAAAAAAACj8/6Q1Zpad3Nug/s1600/Listening-to-music.jpg,Success,,
https://2.bp.blogspot.com/-Vlq8UisI5ig/T5uYcQdr5MI/AAAAAAAAAGY/9U18dJEi5uQ/s1600/mass_media.jpg,Success,,
https://2.bp.blogspot.com/_AYwY74fDryU/SI9ExWO7PZI/AAAAAAAADXQ/38xpQLgWNpY/s1600-h/charity+ads+2.jpg,Success,,
https://2008sec2lit.blogspot.com/2008/03/timeline-of-events-in-animal-farm.html,Success,,
https://2012books.lardbucket.org/books/beginning-chemistry/s08-02-types-of-chemical-reactions-si.html,Success,,
https://208.69.168.83http//208.69.168.83/suite/repository/workspace/EDHS.MA002.A.01_78/Images/Unit%201/Lesson%201/Algebra1P1U1L1Figures_files/image001.jpg,Failed,Failed to establish a connection,
https://208.69.168.83http//208.69.168.83/suite/repository/workspace/EDHS.MA002.A.01_78/Images/Unit%201/Lesson%201/Algebra1P1U1L1Figures_files/image002.jpg,Failed,Failed to establish a connection,
https://208.69.168.83http//208.69.168.83/suite/repository/workspace/EDHS.MA002.A.01_78/Images/Unit%201/Lesson%201/Algebra1P1U1L1Figures_files/image003.jpg,Failed,Failed to establish a connection,
https://208.69.168.83http//208.69.168.83/suite/repository/workspace/EDHS.MA002.A.01_78/Images/Unit%201/Lesson%201/Algebra1P1U1L1Figures_files/image004.jpg,Failed,Failed to establish a connection,
https://208.69.168.83http//208.69.168.83/suite/repository/workspace/EDHS.MA002.A.01_78/Images/Unit%201/Lesson%201/Algebra1P1U1L1finalCE_files/image001.gif,Failed,Failed to establish a connection,
https://208.69.168.83http//208.69.168.83/suite/repository/workspace/EDHS.MA002.A.01_78/Images/Unit%201/Lesson%201/Algebra1P1U1L1finalCE_files/image002.gif,Failed,Failed to establish a connection,
https://208.69.168.83http//208.69.168.83/suite/repository/workspace/EDHS.MA002.A.01_78/Images/Unit%201/Lesson%201/Algebra1P1U1L1finalCE_files/image003.gif,Failed,Failed to establish a connection,
https://208.69.168.83http//208.69.168.83/suite/repository/workspace/EDHS.MA002.A.01_78/Images/Unit%201/Lesson%201/Algebra1P1U1L1finalCE_files/image004.gif,Failed,Failed to establish a connection,
https://208.69.168.83http//208.69.168.83/suite/repository/workspace/EDHS.MA002.A.01_78/Images/Unit%201/Lesson%201/Algebra1P1U1L1finalCE_files/image005.gif,Failed,Failed to establish a connection,
https://208.69.168.83http//208.69.168.83/suite/repository/workspace/EDHS.MA002.A.01_78/Images/Unit%201/Lesson%201/Algebra1P1U1L1finalCE_files/image007.gif,Failed,Failed to establish a connection,
https://221bakerstreet.org/,404,"('Not Found', 'Nothing matches the given URI')",
https://3.bp.blogspot.com/_-CiItarO4dU/THvmVFDVv8I/AAAAAAAAGkM/cYf1yaVXL2Q/s1600/arms+up+cropped.JPG,Success,,
https://3.bp.blogspot.com/_IpdLmlPdBeg/TM6raLOiEUI/AAAAAAAAAAg/rJN-y-9cCPU/s1600/invertedpyramid.jpg,Success,,
https://3.bp.blogspot.com/_TZ4zYEBSw1I/S70csI5TccI/AAAAAAAAMMg/h3SIF2wufEQ/s1600/tdi_history_battle_of_waterloo_3.jpg,Success,,
https://3.bp.blogspot.com/_p2rzTMg7j98/TKC5xRaXBAI/AAAAAAAAAQM/1w3SkW3jevo/s400/w.jpg,404,"('Not Found', 'Nothing matches the given URI')",
https://454.com/applications/metagenomics/index.asp,Failed,Failed to establish a connection,
https://6abc.com/news/police-nj-man-who-posted-photos-of-pot-plants-arrested/886356/,Success,,
https://712educators.about.com/dlclinfo.htm,404,"('Not Found', 'Nothing matches the given URI')",
https://74.125.47.132/search?q=cache:4KvyeW93c2IJ:www.meredith.edu/learn/documents/TIInstructionsforStatistics.doc+%22least+square+regression%22+TI+calculator&amp;cd=4&amp;hl=en&amp;ct=clnk&amp;gl=us&amp;client=firefox-a,Failed,Failed to establish a connection,
https://7gables.org/history/history-of-salem/,Success,,
https://8fit.com/fitness/endurance-training-what-its-all-about-15-minute-workout/,Success,,
https://@media.edisonlearning.com/HS/GLM/docs/LA101.A/doc/ENG1-Memory_IdentityWheelWorksheet.pdf,Failed,Failed to establish a connection,
https://aa.usno.navy.mil/data/docs/MoonPhase.php,Failed,Failed to establish a connection,
https://aabme.asme.org/posts/stem-cells-heal-damaged-muscle-doing-what-surgery-can-t,Success,,
https://aakp.org/patient-profile-national-kidney-month/,Success,,
https://aarongce.wordpress.com/2015/11/13/plant-based-designs/,Success,,
https://aasa.org/schooladministratorarticle.aspx?id=14442,Success,,
https://abacus.bates.edu/cbb/quiz/intro/types.html,Success,,
https://abcnews.go.com/archives/video/aug-1990-iraq-invades-kuwait-10538901,Success,,
https://abcnews.go.com/archives/video/july-1976-bicentennial-celebrations-10242248,Success,,
https://abcnews.go.com/archives/video/march-1977-carter-economy-13086738,Success,,
https://abcnews.go.com/archives/video/march-21-1980-olympic-boycott-dispute-13166374,Success,,
https://abcnews.go.com/archives/video/nov-10-1989-celebration-berlin-wall-8980622,Success,,
https://abcnews.go.com/archives/video/nov-30-1993-clinton-signs-brady-bill-12267285,Success,,
https://abcnews.go.com/blogs/technology/2013/02/former-nfl-cheerleader-responds-to-facebook-bullies/,Success,,
https://abcnews.go.com/business/story?id=86881&amp;page=1#.UDu2xMFlTWo,Success,,
https://abcnews.go.com/gma/video/denzel-washington-interview-2014-actor-takes-broadway-storm-22844605,Success,,
https://abcnews.go.com/health/diabetesoverview/story?id=3843306#.ua0pz-tgnoe,Success,,
https://abcnews.go.com/health/healthday/story?id=4508359,Success,,
https://abcnews.go.com/health/painoverview/story?id=4035141,Success,,
https://abcnews.go.com/health/physical-activity-linked-academic-performance/story?id=15273908,Success,,
https://abcnews.go.com/international/slideshow/inside-apples-factories-china-15750239,Success,,
https://abcnews.go.com/politics/martin-luther-kings-speech-dream-full-text/story?id=14358231,Success,,
https://abcnews.go.com/politics/story?id=1479719,Success,,
https://abcnews.go.com/technology/online-photo-marks-20th-anniversary/story?id=16754368,Success,,
https://abcnews.go.com/technology/story?id=119423&page=1,Success,,
https://abcnews.go.com/technology/story?id=1537045,Success,,
https://abcnews.go.com/technology/story?id=99061&amp;page=1,Success,,
https://abcnews.go.com/technology/story?id=99309&amp;page=1,Success,,
https://abcnews.go.com/us/killed-chandra-levy-15-years-questions-answers-dc/story?id=43046426,Success,,
https://abcnews.go.com/us/solve-mystery-mans-hotel-room-death/story?id=20670076#10,Success,,
https://abcnews.go.com/video,Success,,
https://abetterchemtext.com/Periodicity/exceptions.htm,Success,,
https://aboutforensics.co.uk/chromatography/,Success,,
https://aboutforensics.co.uk/trace-evidence/,Success,,
https://abovetheinfluence.com/drugs/over-the-counter/,Success,,
https://absak.com/library/power-consumption-table/,Success,,
https://absoluteshakespeare.com/guides/hamlet/characters/characters.htm,Success,,
https://absoluteshakespeare.com/guides/romeo_and_juliet/characters/characters.htm,Success,,
https://absoluteshakespeare.com/guides/romeo_and_juliet/commentary/act_i.htm,Success,,
https://absoluteshakespeare.com/guides/romeo_and_juliet/commentary/act_v.htm,Success,,
https://absoluteshakespeare.com/trivia/biography/shakespeare_biography.htm,Success,,
https://absoluteshakespeare.com/trivia/films/films.htm,Success,,
https://absoluteshakespeare.com/trivia/globe/globe.htm,Success,,
https://absoluteshakespeare.com/trivia/timeline/timeline.htm,Success,,
https://academic.brooklyn.cuny.edu/biology/bio4fv/page/exocy.htm,404,"('Not Found', 'Nothing matches the given URI')",
https://academic.brooklyn.cuny.edu/biology/bio4fv/page/gap-junctions.html,404,"('Not Found', 'Nothing matches the given URI')",
https://academic.brooklyn.cuny.edu/english/melani/cs6/fly.html,Success,,
https://academic.brooklyn.cuny.edu/english/melani/cs6/ibsen.html#general,Success,,
https://academic.brooklyn.cuny.edu/english/melani/cs6/stop.html,Success,,
https://academic.brooklyn.cuny.edu/english/melani/cs6/tan.html,Success,,
https://academic.brooklyn.cuny.edu/english/melani/gothic/gothic.html,Success,,
https://academic.brooklyn.cuny.edu/english/melani/lit_term.html,Success,,
https://academic.oup.com/ajcn/article-abstract/56/1/19/4715618?redirectedFrom=fulltext,Success,,
https://academic.oup.com/hmg/article/15/suppl_2/R271/624758,Success,,
https://academic.oup.com/humrep/article/18/4/672/596542,Success,,
https://academic.oup.com/icon/article/8/4/714/667109,Success,,
https://academic.oup.com/nq/article-abstract/29/3/232-a/4619036,Success,,
https://academicguides.waldenu.edu/writingcenter/writingprocess/organizing,Success,,
https://academicguides.waldenu.edu/writingcenter/writingprocess/outlining,Success,,
https://academicguides.waldenu.edu/writingcenter/writingprocess/prewriting,Success,,
https://academichelp.net/samples/academics/essays/expository/,Success,,
https://academics.aces.illinois.edu/career-services/linking-careers/fshn-careers,Success,,
https://academo.org/demos/wave-interference-beat-frequency/,Success,,
https://academy.allaboutbirds.org/speciation-an-illustrated-introduction/,Success,,
https://acc6.its.brooklyn.cuny.edu/~phalsall/images/chinlan2.gif,404,"('Not Found', 'Nothing matches the given URI')",
https://accedian.com/enterprises/blog/5-network-performance-factors-slow-data-transfers-identify/,Redirected,URL should be updated to match Redirected URL,https://accedian.com/blog/5-network-performance-factors-slow-data-transfers-identify/
https://accel.wisconsinpublicservice.com/home/power_occur.aspx,Success,,
https://accessmedicine.mhmedical.com/book.aspx?bookid=507&isMissingChapter=true&amp;sectionid=42540502,Success,,
https://accounts.geogebra.org/user/signin?url=https%3A%2F%2Fwww.geogebra.org%2Fm%2Fdmvnbn2v%2Fautocheck,Success,,
https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://contacts.google.com/&followup=https://contacts.google.com/,400,"('Bad Request', 'Bad request syntax or unsupported method')",
https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://docs.google.com/&followup=https://docs.google.com/&emr=1,400,"('Bad Request', 'Bad request syntax or unsupported method')",
https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://maps.google.com/maps/d/?ie%3Dutf8&followup=https://maps.google.com/maps/d/?ie%3Dutf8&amp;oe=UTF8&amp;msa=0&amp;msid=213358254101593921005.0004bdbc82c3142630523,400,"('Bad Request', 'Bad request syntax or unsupported method')",
https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://www.google.com/maps/d/edit?usp%3Ddrive_open%26mid%3D1Jic0VPWIExG4RnEb3MqmMKd-abE&followup=https://www.google.com/maps/d/edit?usp%3Ddrive_open%26mid%3D1Jic0VPWIExG4RnEb3MqmMKd-abE&amp;usp=sharing,400,"('Bad Request', 'Bad request syntax or unsupported method')",
https://accounts.google.com/ServiceLogin?service=jotspot&passive=1209600&continue=https://sites.google.com/site/sites/system/errors/WebspaceNotFound?path%3D/bolender2016/&followup=https://sites.google.com/site/sites/system/errors/WebspaceNotFound?path%3D/bolender2016/,400,"('Bad Request', 'Bad request syntax or unsupported method')",
https://accounts.google.com/ServiceLogin?service=wise&passive=1209600&continue=https://docs.google.com/drawings/create?usp%3Ddirect_url&followup=https://docs.google.com/drawings/create?usp%3Ddirect_url&ltmpl=drawings,400,"('Bad Request', 'Bad request syntax or unsupported method')",
https://acdis.illinois.edu/?id=379,Success,,
https://ace.fsu.edu/Gfx/Cornell_Template_ACE.pdf,404,"('Not Found', 'Nothing matches the given URI')",
https://achievement.org/achiever/coretta-scott-king/,Success,,
https://achievement.org/achiever/rosa-parks/,Success,,
https://acl.gov/programs/protecting-rights-and-preventing-abuse/elder-justice,Success,,
https://acmcu.georgetown.edu/2013/11/04/sunni-shia-tensions-are-more-about-politics-power-and-privilege-than-theology/,Success,,
https://activefiremaps.fs.fed.us/,Failed,Failed to establish a connection,
https://actrav.itcilo.org/library/english/07_IT/ICDL/ICDL_Module_5_Databases.pdf,Failed,Failed to establish a connection,
https://adage.com/century/timeline/index.html,404,"('Not Found', 'Nothing matches the given URI')",
https://adam.about.com/encyclopedia/infectiousdiseases/Scurvy.htm,404,"('Not Found', 'Nothing matches the given URI')",
https://adaptivemap.ma.psu.edu/websites/moment_intergrals/centroids_3D/centroids3D.html,404,"('Not Found', 'Nothing matches the given URI')",
https://adaptivemap.ma.psu.edu/websites/structures/method_of_joints/methodofjoints.html,404,"('Not Found', 'Nothing matches the given URI')",
https://adminsecret.monster.com/education/articles/1175-how-your-education-level-directly-affects-your-salary-its-bigger-than-you-think,404,"('Not Found', 'Nothing matches the given URI')",
https://adprima.com/objectives.htm,Success,,
https://adventure.howstuffworks.com/titanic5.htm,Success,,
https://advice.writing.utoronto.ca/researching/get-the-most-from-reading/,Success,,
https://aerospace.org/,Success,,
https://aether.lbl.gov/elements/stellar/strong/strong.html,Success,,
https://afdc.energy.gov/vehicles/fuel_cell.html,Success,,
https://afdc.energy.gov:443/vehicles/electric_basics_hev.html,Success,,
https://afe.easia.columbia.edu/china/language/callig.htm,404,"('Not Found', 'Nothing matches the given URI')",
https://affordablehousingonline.com/what-is-affordable-housing,Success,,
https://afghan-institute.org/,Success,,
https://aflcio.org/,Success,,
https://aflcio.org/about-us,Success,,
https://aflcio.org/about-us/history,Success,,
https://aggie-horticulture.tamu.edu/plantanswers/publications/poison/poison.html,Success,,
https://agni.phys.iit.edu/~vpa/elecnotes.htm,404,"('Not Found', 'Nothing matches the given URI')",
https://agsci.oregonstate.edu/art/art-about-agriculture,Success,,
https://ahpweb.org/,Success,,
https://ai.glossika.com/,Success,,
https://aidsinfo.nih.gov/,Success,,
https://airandspace.si.edu/exhibitions/exploring-the-planets/online/tools/probes.cfm,Success,,
https://airandspace.si.edu/explore-and-learn/topics/apollo/apollo-program/landing-missions/apollo17.cfm,Success,,
https://ak.water.usgs.gov/glaciology/FAQ.htm,404,"('Not Found', 'Nothing matches the given URI')",
https://ako.net.nz/research/misinformation-effect/,Failed,Failed to establish a connection,
https://alandix.com/academic/papers/int90/,Success,,
https://albalearning.com/audiolibros/cuentos/lostrescerditos.html,Success,,
https://albalearning.com/audiolibros/exupery/elprincipito-en.html#capitulo1,Success,,
https://albalearning.com/audiolibros/exupery/elprincipito01.html,Success,,
https://alevelbiology.co.uk/notes/mitochondria-structure-and-functions/,Success,,
https://alex.state.al.us/uploads/6991/Elements%20of%20a%20Plot%20Diagram%5D.ppt,404,"('Not Found', 'Nothing matches the given URI')",
https://aliscot.com/bigdog/misplaced.htm,Success,,
https://alistapart.com/article/whitespace/,Success,,
"https://all4ed.org/reports-factsheets/tapping-the-potential-retaining-and-developing-high-quality-new-teachers/&gt;,  The Alliance for Education found that schools receive a payout of $1.37 for  each $1 they spend on teacher induction programs and state that &quot;If the  national goal of providing an equitable education to children across this  nation is to be met, it is critical that efforts be concentrated on developing  and retaining high-quality teachers in every community and at every gra",Failed,Failed to establish a connection,
https://all4ed.org/reports-factsheets/the-high-cost-of-high-school-dropouts-what-the-nation-pays-for-inadequate-high-schools/,Success,,
https://allairevillage.org/visit/the-history-of-allaire/explore-the-historic-village/,404,"('Not Found', 'Nothing matches the given URI')",
https://allpoetry.com/i-know-why-the-caged-bird-sings,Success,,
https://allpoetry.com/poem/8498499-Mirror-by-Sylvia-Plath,Success,,
https://allpoetry.com/poem/8580641-Daybreak-by-Stephen-Spender,Success,,
https://allpsych.com/personalitysynopsis/behavior_modification.html,404,"('Not Found', 'Nothing matches the given URI')",
https://allpsych.com/psychology101/learning/conditioning/,Success,,
https://allpsych.com/psychology101/learning/reinforcement/,Success,,
https://allpsych.com/psychology101/motivation_emotion/emotion/,Success,,
https://allpsych.com/psychology101/sensation_perception/perception/,Success,,
https://allpsych.com/timeline/,Success,,
https://allthingsliberty.com/2016/05/a-prisoners-poem-philip-freneaus-account-of-a-british-prison-ship/,Success,,
https://alt.hobart.k12.in.us/jkousen/Biology/watercycle.html,Success,,
https://alumni.media.mit.edu/~andyd/mindset/design/clc_rsch.html,Success,,
https://amazing-space.stsci.edu/resource_page/150/gravity/type,Success,,
https://amazing-space.stsci.edu/resources/explorations/ghunter/lesson/itinerary.html?r=../variance/index.html,Success,,
https://amb.cult.bg/american/5/malamud/barrel.htm,Failed,Failed to establish a connection,
https://ambergriscaye.com/highschool/,Success,,
https://americancivilwar.com/getty.html,Success,,
https://americancivilwar.com/north/abe_lincoln.html,Success,,
https://americanenglish.state.gov/files/ae/resource_files/after-twenty-years.pdf,Success,,
https://americanenglish.state.gov/files/ae/resource_files/to-build-a-fire.pdf,Success,,
https://americanfolklore.net/folklore/2010/07/brer_fox_catches_old_man_tarry.html,Success,,
https://americanfolklore.net/folklore/2010/07/john_henry.html,Success,,
https://americanfolklore.net/folklore/2010/07/the_trickster_tricked.html,Success,,
https://americanfolklore.net/folklore/2010/08/old_stormalong.html,Success,,
https://americanfolklore.net/folklore/2011/07/fire.html,Success,,
https://americanfolklore.net/folklore/2012/07/the_lion_and_the_beetle.html,Success,,
https://americanfolklore.net/sindex.html,Success,,
https://americanhistory.si.edu/america-on-the-move,Success,,
https://americanhistory.si.edu/brown/history/1-segregated/separate-but-equal.html,Success,,
https://americanhistory.si.edu/brown/history/2-battleground/quest-for-education-1.html,Success,,
